"Subject Catalog Nbr
",Title,"Instructors

","Term
","Term Code
",Cross- listed,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP,S,U,I,W,IP,-,Total
THEA- 21B,Act 1B Physicality,"Funatogawa,Chie",2011 Fall,,,0,10,4,1,1,0,0,0,,,,,0,0,0,,,,0,,,
THEA- 126,Acting Studio III,"Funatogawa,Chie",2011 Fall,,,5,6,7,2,0,0,0,0,,,,,0,1,0,,,,0,,,
ART- 24B,Intr Paint: Acrylic,"Funatogawa,Chie",2011 Fall,,,2,8,1,5,4,1,0,0,,,,,0,0,0,,,,0,,,
ART- 103,Interm/Adv Painting,"Funatogawa,Chie",2011 Fall,,,2,13,2,3,2,0,0,0,,,,,0,0,0,,,,0,,,
LIT- 61M,Classical Myth,"Gamel,Mary-Kay",2011 Fall,,,4,10,19,22,43,36,47,53,,,,,16,19,4,,,,1,,,
FILM- 170A,Digital Media Prod,"Gan,Elaine M",2011 Fall,,,2,6,3,5,1,2,1,1,,,,,0,1,0,,,,0,,,
EART- 160,Planetary Science,"Garrick-Bethell,Ian",2011 Fall,,,2,1,2,5,1,0,0,2,,,,,1,0,1,,,,1,,,
SPAN- 3,Instr Spanish Lang,"Genova,Thomas Francis",2011 Fall,,,0,10,9,3,0,0,0,0,,,,,0,0,0,,,,0,,,
ECON- 100A,Intermed Microecon,"Georgiou,George",2011 Fall,,,5,12,8,8,9,8,12,13,,,,,3,0,0,,,,2,,,
MERR- 80B,RI:Cultural IDs&Glob,"Gerster,Carole J",2011 Fall,,,0,5,4,13,15,5,2,1,,,,,0,2,0,,,,0,,,
PSYC- 135,Feelings & Emotions,"Gibbs,Raymond W",2011 Fall,,,2,23,40,29,40,12,12,12,,,,,5,0,0,,,,2,,,
PRTR- 80B,RI:WritingAcrossArts,"Gibbs,Raymond W",2011 Fall,,,0,0,5,8,6,0,1,0,,,,,0,0,0,,,,0,,,
PRTR- 180,Pedagogical Practic,"Gibbs,Raymond W",2011 Fall,,,2,13,0,0,0,0,0,0,,,,,0,0,0,,,,0,,,
MATH- 23B,Multivariable Calc,"Ginzburg,Viktor",2011 Fall,,,7,12,14,11,9,6,14,20,,,,,10,0,0,,,,2,,,
PSYC- 60,IntroPersonalityPsych,"Gjerde,Per F",2011 Fall,,,7,50,0,2,41,0,1,14,,,,,1,1,1,,,,1,,,
EDUC- 173,Critical Pedagogy,"Glass,Ronald",2011 Fall,,,0,8,23,10,6,0,1,0,,,,,0,0,0,,,,0,,,
ENVS- 91F,Community /Agroecolgy,"Glass,Ronald",2011 Fall,,,0,14,1,1,2,0,0,0,,,,,0,3,0,,,,0,,,
ENVS- 130A,Agroeco & Sust Ag,"Glass,Ronald",2011 Fall,,,1,20,17,18,18,11,4,2,,,,,0,2,0,,,,0,,,
LIT- 1,Literary Interpret,"Godzich,Wlad B",2011 Fall,,,2,10,24,16,19,18,12,8,,,,,10,6,4,,,,5,,,
HISC- 107,Freak Shows,"Gomoll,Lucian Francis Joseph",2011 Fall,,,1,7,5,3,1,0,1,0,,,,,0,1,0,,,,1,,,
AMS- 10,Math Methods I,"Gong,Qi",2011 Fall,,,0,4,6,17,11,9,17,12,,,,,6,0,0,,,,2,,,
SPSS- 61,Spanish Speakers,"Gonzalez Pagani,Maria",2011 Fall,,,6,7,12,11,9,2,1,0,,,,,0,2,0,,,,0,,,
ECON- 101,Managerial Econ,"Gonzalez Pagani,Maria",2011 Fall,,,1,8,11,10,11,8,20,18,,,,,3,2,1,,,,0,,,
ECON- 170,Environmental Econ,"Gonzalez Pagani,Maria",2011 Fall,,,1,1,1,2,4,3,2,1,,,,,1,0,0,,,,0,,,
EDUC- 170,School/Asian Imm,"Gordon,June A",2011 Fall,,,0,21,18,8,0,0,1,0,,,,,0,0,0,,,,0,,,
ECON- 100B,Intermed Macroecon,"Gorry,Christopher A",2011 Fall,,,5,13,8,12,24,23,16,14,,,,,7,3,0,,,,1,,,
SOCY- 172,Social Movements,"Gould,Deborah B",2011 Fall,,,0,6,5,4,14,4,2,0,,,,,0,3,0,,,,0,,,
PSYC- 140G,Women's Lives,"Grabe,Shelly A.",2011 Fall,,,1,31,30,21,12,11,5,2,,,,,3,2,0,,,,0,,,
CRWN- 80B,RI:Ethical Issues,"Gray,Chris Hables",2011 Fall,,,4,17,11,6,4,4,0,1,,,,,0,0,0,,,,0,,,
SOCY- 116,Comm & Mass Media,"Gray,Herman S",2011 Fall,,,0,2,6,7,13,10,4,5,,,,,0,3,0,,,,0,,,
BME- 130,Genomes,"Green,Richard Edward E",2011 Fall,,,1,5,2,2,1,0,0,2,,,,,0,1,0,,,,0,,,
KRSG- 80A,UD:Power&Represnt,"Greider,Brett E",2011 Fall,,,0,10,4,15,10,5,0,2,,,,,0,0,0,,,,0,,,
EDUC- 194F,Group Projects,"Gritsch De Cordova,Holly",2011 Fall,,,0,36,16,8,2,0,0,0,,,,,0,33,0,,,,0,,,
EE- 130,Optoelect/Photonics,"Gu,Claire Xg",2011 Fall,,,0,7,5,2,5,0,0,0,,,,,0,0,0,,,,0,,,
MERR- 80A,UD: Cultural IDs,"Gu,Claire Xg",2011 Fall,,,0,11,9,11,8,5,1,0,,,,,2,0,0,,,,0,,,
SOCY- 152,Body and Society,"Gu,Claire Xg",2011 Fall,,,4,18,8,9,5,1,5,2,,,,,2,2,0,,,,0,,,
PHIL- 11,Intro To Philosophy,"Guevara,Daniel Edward",2011 Fall,,,0,35,16,26,20,6,11,5,,,,,0,23,0,,,,0,,,
ASTR- 1,The Cosmos,"Guha Thakurta,Puragra",2011 Fall,,,17,20,22,20,24,14,27,28,,,,,2,17,0,,,,0,,,
FILM- 80A,The Film Exp,"Gustafson,Irene",2011 Fall,,,0,27,53,49,65,40,18,11,,,,,1,13,0,,,,2,,,
PHYS- 105,Mechanics,"Gweon,Gey-Hong",2011 Fall,,,3,5,9,9,11,6,10,11,,,,,0,0,0,,,,1,,,
ART- 24A,"Intr Painting, Oil","Gwyn,Melissa",2011 Fall,,,0,7,6,2,3,1,1,1,,,,,0,0,0,,,,0,,,
PHYS- 116C,Math Method Physics,"Haber,Howard E",2011 Fall,,,3,4,5,8,11,9,13,8,,,,,2,0,0,,,,0,,,
ANTH- 170,His Archaeol Theory,"Haber,Howard E",2011 Fall,,,2,2,4,3,6,2,1,0,,,,,1,1,1,,,,1,,,
ANTH- 197F,Laboratory Tutorial,"Haber,Howard E",2011 Fall,,,0,1,2,0,0,0,0,0,,,,,0,14,0,,,,0,,,
ENVS- 165,Fresh Water Policy,"Haddad,Brent M",2011 Fall,,,5,10,6,6,13,6,0,15,,,,,1,5,0,,,,3,,,
CLEI- 80A,UD:Environ/Society,"Haddad,Brent M",2011 Fall,,,0,14,10,8,3,2,1,1,,,,,1,0,0,,,,0,,,
CLEI- 99,Tutorial,"Haddad,Brent M",2011 Fall,,,3,7,0,0,0,0,0,0,,,,,0,0,0,,,,0,,,
WRIT- 2,Rhetoric & Inquiry,"Hamilton,Roxanne P",2011 Fall,,,0,2,4,15,12,4,0,0,,,,,0,9,1,,,,0,,,
PSYC- 183,History Of Psych,"Hammack,Phillip L",2011 Fall,,,1,84,0,0,3,0,0,0,,,,,4,1,0,,,,4,,,
LING- 114,Syntax III,"Hankamer,Jorge",2011 Fall,,,0,9,0,0,2,0,0,0,,,,,0,1,0,,,,0,,,
LING- 120,Structure English,"Harizanov,Boris Yordanov",2011 Fall,,,0,7,4,6,9,3,3,3,,,,,1,5,0,,,,0,,,
ART- 80F,Intro Digital Media,"Haughwout,Margaretha Anne",2011 Fall,,,0,4,24,13,19,2,0,2,,,,,0,0,0,,,,0,,,
PRTR- 80B,RI:WritingAcrossArts,"Hawkes,Ellen G",2011 Fall,,,0,6,5,12,11,7,5,1,,,,,0,0,0,,,,0,,,
PRTR- 80A,UD: Writing/Arts,"Hays,Shannon",2011 Fall,,,2,7,4,13,7,6,3,3,,,,,1,0,0,,,,1,,,
HIS- 62A,Classic Worl: Greec,"Hedrick,Charles W",2011 Fall,,,6,12,23,13,30,13,9,17,,,,,13,14,0,,,,1,,,
CMPS- 142,Machine Learning,"Helmbold,David Paul",2011 Fall,,,3,3,3,1,3,0,0,0,,,,,0,0,0,,,,1,,,
MUSC- 11B,Intro to Jazz,"Hester,Karlton E",2011 Fall,,,27,21,8,11,20,15,9,19,,,,,17,35,12,,,,0,,,
BIOL- 110,Cell Biology,"Hester,Karlton E",2011 Fall,,,6,21,13,20,46,23,22,45,,,,,8,0,0,,,,5,,,
BIOL- 189W,Human Biology DC,"Hester,Karlton E",2011 Fall,,,2,0,4,5,2,0,0,0,,,,,0,0,0,,,,0,,,
CLTE- 91,Introduction Nuclear Policy,"Hirsch,Daniel O",2011 Fall,,,2,8,14,1,4,1,3,4,,,,,2,2,0,,,,0,,,
ART- 104,Spec Topcs Painting,"Hirsch,Daniel O",2011 Fall,,,0,5,9,4,3,0,1,1,,,,,0,1,0,,,,0,,,
ART- 105,Spec Topics Drawing,"Hirsch,Daniel O",2011 Fall,,,0,6,6,2,4,1,2,1,,,,,0,1,0,,,,0,,,
PSYC- 118B,Extm Circumstances,"Hirsch,Daniel O",2011 Fall,,,2,43,10,3,5,0,0,0,,,,,0,0,0,,,,0,,,
PSYC- 170,Abnormal Psychology,"Hirsch,Daniel O",2011 Fall,,,8,84,5,6,9,2,2,4,,,,,0,1,0,,,,0,,,
FILM- 170B,Film/Video Productn,"Hollander,Eli E",2011 Fall,,,1,6,5,7,3,1,1,0,,,,,0,0,0,,,,0,,,
LTEL- 190L,English Lang Lit,"Hong,Christine",2011 Fall,,,6,5,2,3,2,3,0,0,,,,,1,0,0,,,,0,,,
COWL- 80A,UD: Imagining Justice,"Honnef,Theo",2011 Fall,,,0,7,13,14,8,4,0,0,,,,,0,0,0,,,,0,,,
HIS- 40A,Early Mod East Asia,"Honnef,Theo",2011 Fall,,,0,6,8,17,19,18,16,1,,,,,3,8,0,,,,2,,,
HIS- 140B,His China 1644-1911,"Honnef,Theo",2011 Fall,,,1,1,9,19,8,6,3,0,,,,,4,2,0,,,,0,,,
HAVC- 135B,Germn Art 1905-1945,"Honnef,Theo",2011 Fall,,,0,7,8,14,6,9,7,4,,,,,0,3,0,,,,3,,,
HAVC- 190P,Patriotism Fren Rev,"Honnef,Theo",2011 Fall,,,0,2,3,0,2,1,1,1,,,,,1,0,0,,,,0,,,
FREN- 2,Instr French Lang,"Honnef,Theo",2011 Fall,,,0,5,3,5,4,0,1,1,,,,,1,2,2,,,,1,,,
FREN- 125B,Fr Civ: 20Th Century,"Honnef,Theo",2011 Fall,,,1,2,2,1,2,1,1,1,,,,,2,1,0,,,,0,,,
ECON- 2,Intro Macroeconomic,"Hutchison,Michael M",2011 Fall,,,11,21,16,31,50,11,26,43,,,,,17,12,6,,,,4,,,
EE- 198,Individual Study,"Isaacson,Michael Saul",2011 Fall,,,0,10,5,2,2,0,0,0,,,,,0,1,0,,,,0,,,
PRTR- 80A,UD: Writing/Arts,"Jablonski,Noria",2011 Fall,,,0,1,5,9,13,5,1,2,,,,,0,0,0,,,,0,,,
ENVS- 177,TeachEnvironEduc,"Jaffe,Roberta M",2011 Fall,,,0,14,10,2,0,0,0,0,,,,,0,0,0,,,,0,,,
THEA- 61C,Birth of the Modern,"Jannarone,Kimberly M",2011 Fall,,,3,13,26,9,14,5,4,13,,,,,7,4,2,,,,0,,,
PHYS- 139B,Quantum Mechanics,"Johnson,Robert Preston",2011 Fall,,,5,4,1,1,6,0,1,3,,,,,0,2,0,,,,0,,,
HIS- 110D,Civil War Era,"Jones,Catherine A",2011 Fall,,,0,5,19,22,25,14,7,5,,,,,0,0,0,,,,0,,,
ANTH- 1,Intr Humn Evolution,"Jones,Catherine A",2011 Fall,,,6,28,8,28,44,13,18,33,,,,,11,6,1,,,,3,,,
ANTH- 102A,Human Skeletal Biol,"Jones,Catherine A",2011 Fall,,,0,3,0,3,5,2,6,4,,,,,4,0,2,,,,2,,,
SOCY- 167,Devel & Underdevelp,"Kalinic,Ariana",2011 Fall,,,4,6,9,6,3,6,4,0,,,,,0,2,0,,,,0,,,
AMS- 5,Statistics,"Kalinic,Ariana",2011 Fall,,,6,13,12,12,61,20,11,99,,,,,13,11,6,,,,3,,,
AMS- 11B,Math Methds Econ II,"Kalinic,Ariana",2011 Fall,,,0,10,4,3,23,10,5,32,,,,,6,6,2,,,,2,,,
ECON- 11B,Math Methds Econ II,"Kalinic,Ariana",2011 Fall,,,0,1,0,0,2,0,0,5,,,,,0,0,0,,,,0,,,
MATH- 21,Linear Algebra,"Kalinic,Ariana",2011 Fall,,,14,14,4,9,23,8,4,32,,,,,7,0,2,,,,4,,,
CHIN- 1,Chinese: Mandarin,"Keenan,David L",2011 Fall,,,0,23,6,6,7,1,2,2,,,,,0,8,0,,,,0,,,
HIS- 172B,German Film 1919-45,"Keenan,David L",2011 Fall,,,0,5,9,12,9,6,1,2,,,,,3,1,0,,,,2,,,
STEV- 80A,UD:Self & Society,"Keenan,David L",2011 Fall,,,0,0,7,11,4,1,0,0,,,,,0,0,0,,,,0,,,
HIS- 175A,Medieval Russia,"Kenez,Peter",2011 Fall,,,4,8,2,3,10,6,2,8,,,,,4,0,0,,,,1,,,
HISC- 105,Fem Study:Narr&Refig,"Kenney,Martha Jean",2011 Fall,,,1,4,7,3,4,3,0,2,,,,,0,0,0,,,,1,,,
EDUC- 50C,CAL Teach1: Science,"Kent,Patrick Martin",2011 Fall,,,5,2,4,2,2,1,0,1,,,,,0,0,0,,,,1,,,
BIOL- 181,Comp Bio Tools,"Kent,Patrick Martin",2011 Fall,,,0,4,3,4,5,3,4,6,,,,,0,0,0,,,,0,,,
BME- 110,Comp Bio Tools,"Kent,Patrick Martin",2011 Fall,,,2,3,3,0,0,6,3,0,,,,,1,0,0,,,,0,,,
MUSC- 121,Orchestration,"Kim,Hi Kyung",2011 Fall,,,0,5,5,4,3,0,0,0,,,,,0,0,0,,,,0,,,
FILM- 165D,Asian Americans,"Kim,Lahn S",2011 Fall,,,0,6,7,18,12,10,5,5,,,,,0,3,1,,,,1,,,
PHYE- 30L,Yoga Exercises,"Kimball,Julie Hall",2011 Fall,,,0,0,0,0,0,0,0,0,,,,,0,115,26,,,,2,,,
LING- 102,Phonology II,"Kimball,Julie Hall",2011 Fall,,,2,8,8,7,7,4,3,0,,,,,1,19,1,,,,1,,,
LING- 154,Lang/Social Identity,"Kimball,Julie Hall",2011 Fall,,,2,3,7,7,5,5,2,1,,,,,1,4,0,,,,0,,,
CLTE- 95,Nonviolent Comm,"King,Christine L.",2011 Fall,,,0,2,0,0,1,0,0,0,,,,,0,15,0,,,,0,,,
OAKS- 80A,UD:CommunicatingDiversity,"King,Christine L.",2011 Fall,,,0,4,3,3,3,3,2,1,,,,,0,0,0,,,,0,,,
WRIT- 169,Tutoring Writing,"King,Christine L.",2011 Fall,,,0,5,19,7,0,0,0,0,,,,,0,6,0,,,,0,,,
PHYE- 9B,BegDinghySailing,"Kingon,Russell L",2011 Fall,,,0,0,0,0,0,0,0,0,,,,,0,16,2,,,,0,,,
CLNI- 80A,UD:Intl/Global Issues,"Kingsbury,Donald Vernon",2011 Fall,,,0,0,4,4,9,3,0,3,,,,,0,0,0,,,,0,,,
LTWL- 124,Hist Culture Theory,"Kinoshita,Sharon A",2011 Fall,,,0,12,14,9,15,13,11,6,,,,,3,7,0,,,,1,,,
LTSP- 102A,Conquest--Sor Juana,"Kinoshita,Sharon A",2011 Fall,,,0,4,5,6,3,3,1,1,,,,,1,2,2,,,,1,,,
LTWL- 190A,Topics in World Lit,"Kinoshita,Sharon A",2011 Fall,,,0,13,5,3,2,0,0,0,,,,,0,0,0,,,,0,,,
MUSC- 9,Wind Ensemble,"Klevan,Robert",2011 Fall,,,0,48,0,2,1,0,0,0,,,,,0,4,0,,,,0,,,
OAKS- 80B,RI:CommunicatingDiversity,"Knisely,Lindsay Elizabeth",2011 Fall,,,0,7,8,8,4,1,0,0,,,,,0,0,0,,,,0,,,
EART- 5,California Geology,"Knittle,Elise",2011 Fall,,,0,47,13,2,83,4,5,27,,,,,2,6,2,,,,1,,,
POLI- 3,Concepts/Politics,"Kotowski,Jan Michael",2011 Fall,,,0,4,12,27,34,27,18,10,,,,,4,7,0,,,,1,,,
CMPS- 183,Hypermedia/Web,"Kraft,Reiner",2011 Fall,,,3,12,2,4,20,9,6,7,,,,,1,0,0,,,,1,,,
THEA- 80Z,Indian Dance,"Kumar,Mythili R",2011 Fall,,,1,21,16,2,0,0,0,0,,,,,0,3,0,,,,0,,,
THEA- 12,Stage Management,"Kumaran,Laxmi",2011 Fall,,,11,9,1,7,1,1,0,1,,,,,1,1,0,,,,0,,,
LALS- 80Q,Musica Latina,"Landau,Greg",2011 Fall,,,8,54,16,4,3,0,0,0,,,,,0,3,0,,,,0,,,
PSYC- 194C,Adv Social Research,"Langhout,Regina Day",2011 Fall,,,0,14,2,0,0,0,0,0,,,,,0,1,0,,,,0,,,
LGST- 132,Ca Water Law/Policy,"Langhout,Regina Day",2011 Fall,,,1,8,3,1,7,7,1,0,,,,,0,0,0,,,,0,,,
POLI- 132,Ca Water Law/Policy,"Langhout,Regina Day",2011 Fall,,,2,4,3,2,5,2,0,0,,,,,0,1,0,,,,0,,,
ENVS- 131,Insect Ecology,"Langridge,Suzanne May",2011 Fall,,,0,8,2,2,9,7,0,4,,,,,1,1,0,,,,0,,,
CMPE- 80N,Intro to Networking,"Larrabee,Tracy",2011 Fall,,,0,73,24,28,12,5,0,4,,,,,1,4,0,,,,0,,,
HIS- 110E,U.S. From 1877-1914,"Larrabee,Tracy",2011 Fall,,,0,11,11,13,4,5,1,4,,,,,4,1,0,,,,0,,,
HIS- 190U,Power/Culture in US,"Larrabee,Tracy",2011 Fall,,,0,3,3,8,4,1,1,0,,,,,0,0,0,,,,0,,,
CLNI- 80A,UD:Intl/Global Issues,"Larrabee,Tracy",2011 Fall,,,2,8,12,1,0,0,0,0,,,,,0,0,0,,,,0,,,
CLNI- 80B,RI:Intl/Global Issues,"Larrabee,Tracy",2011 Fall,,,6,29,9,1,0,0,0,0,,,,,0,0,0,,,,0,,,
CLNI- 80L,College Nine Core Film,"Larrabee,Tracy",2011 Fall,,,6,15,0,0,0,0,0,0,,,,,0,0,0,,,,0,,,
AMST- 102,Reading Culture,"Lau,Kimberly J",2011 Fall,,,1,2,4,7,5,5,1,2,,,,,1,0,0,,,,0,,,
EART- 2,Earth Catastrophes,"Lay,Thorne",2011 Fall,,,3,15,9,19,29,24,26,36,,,,,9,13,1,,,,0,,,
FILM- 171G,Doc Amni Wkshp,"Leanos,John Jota",2011 Fall,,,0,11,2,0,0,0,0,0,,,,,0,0,0,,,,0,,,
PSYC- 100,Research Methods,"Leaper,Campbell",2011 Fall,,,5,13,15,17,71,13,9,20,,,,,13,2,0,,,,1,,,
BIOL- 100K,Biochemistry Lab,"Leaper,Campbell",2011 Fall,,,1,16,32,33,77,40,20,59,,,,,4,0,0,,,,2,,,
BIOL- 105L,Eukaryotc Genet Lab,"Leaper,Campbell",2011 Fall,,,0,4,3,2,3,1,0,2,,,,,0,0,0,,,,0,,,
LTEL- 103E,Studies: Romanticsm,"Leaper,Campbell",2011 Fall,,,0,16,10,3,1,0,0,0,,,,,0,0,0,,,,0,,,
LTEL- 190L,English Lang Lit,"Leaper,Campbell",2011 Fall,,,7,16,0,0,0,0,0,0,,,,,0,1,0,,,,0,,,
MUSC- 11A,Classical/MidAges/Pres,"Leikin,Anatole",2011 Fall,,,69,63,13,13,24,9,12,29,,,,,7,57,5,,,,3,,,
LTCR- 10,Intro Creative Writ,"Leslie,Juliana I",2011 Fall,,,0,10,8,1,1,0,0,0,,,,,1,0,0,,,,0,,,
CMPS- 130,Computational Model,"Levinson,Robert A",2011 Fall,,,3,3,3,7,8,6,4,10,,,,,1,0,0,,,,0,,,
MATH- 128A,Classical Geometry,"Lewis,Debra K",2011 Fall,,,1,7,3,10,5,1,3,3,,,,,0,0,0,,,,0,,,
CHEM- 163A,Quantum Mech & Spec,"Li,Yat",2011 Fall,,,4,19,5,8,31,14,36,23,,,,,1,0,0,,,,0,,,
MUSC- 80W,Music Business,"Lieberman,Fredric",2011 Fall,,,37,266,1,0,11,0,0,6,,,,,2,18,0,,,,1,,,
CHEM- 108A,Organic Chemistry,"Linington,Roger G",2011 Fall,,,5,20,7,33,123,33,0,67,,,,,18,0,0,,,,2,,,
ART- 134,Spec Topics Photo,"Locks,Norman",2011 Fall,,,1,12,3,6,7,0,0,0,,,,,0,0,0,,,,0,,,
CLNI- 80A,UD:Intl/Global Issues,"Loeffler,Toby H",2011 Fall,,,0,0,3,3,7,4,2,1,,,,,0,0,0,,,,0,,,
ENVS- 80B,Forecast Globl Warm,"Loik,Michael E",2011 Fall,,,8,22,14,16,35,13,13,36,,,,,9,14,1,,,,6,,,
CHEM- 146A,Adv Lab Organic,"Lokey,Robert Scott",2011 Fall,,,0,9,3,0,2,1,1,0,,,,,0,0,0,,,,0,,,
AMST- 123M,Am Ind Hist On Film,"Lokey,Robert Scott",2011 Fall,,,0,6,7,4,6,3,0,1,,,,,0,2,0,,,,0,,,
AMST- 190,Senior Seminars,"Lokey,Robert Scott",2011 Fall,,,1,5,6,3,0,3,1,0,,,,,0,0,0,,,,0,,,
OAKS- 80A,UD:CommunicatingDiversity,"Longo,Philip M",2011 Fall,,,0,0,4,5,6,3,2,3,,,,,0,0,0,,,,0,,,
OAKS- 80A,UD:CommunicatingDiversity,"Lopez,Leslie Thomson",2011 Fall,,,0,7,4,2,3,2,2,4,,,,,0,0,0,,,,0,,,
CRWN- 80A,UD:Ethical Issues,"Lowell,Karen L",2011 Fall,,,0,5,11,3,3,2,10,5,,,,,0,0,0,,,,0,,,
HISC- 139A,MrktCrises/FutureCapit,"Lowell,Karen L",2011 Fall,,,5,4,4,2,6,2,3,3,,,,,3,5,1,,,,0,,,
LGST- 157,Political Jurisprudence,"Lowell,Karen L",2011 Fall,,,1,4,12,2,11,7,2,7,,,,,2,0,1,,,,0,,,
SOCY- 15,World Society,"Lowell,Karen L",2011 Fall,,,2,15,17,20,28,14,18,24,,,,,3,6,0,,,,4,,,
SOCY- 30A,IntrGlobal InfoEnterp,"Lowell,Karen L",2011 Fall,,,3,6,7,3,7,3,0,0,,,,,2,0,0,,,,1,,,
SOCY- 188G,Glbl Islam Politics,"Lowell,Karen L",2011 Fall,,,0,6,7,4,3,4,2,5,,,,,2,2,0,,,,1,,,
SOCY- 194F,Group Tutorial,"Lowell,Karen L",2011 Fall,,,0,5,2,0,3,0,0,2,,,,,0,0,0,,,,0,,,
FILM- 20P,Productn Technique,"Lusztig,Irene E.",2011 Fall,,,0,7,21,18,13,15,1,2,,,,,2,0,0,,,,2,,,
HAVC- 123B,ReligVisCultureSoAsia,"Ly,Boreth J.",2011 Fall,,,0,7,8,16,21,7,3,1,,,,,1,3,0,,,,2,,,
GREE- 1,Elem Ancient Greek,"Ly,Boreth J.",2011 Fall,,,2,5,0,2,3,3,0,0,,,,,1,0,0,,,,0,,,
LATN- 1,Elementary Latin,"Ly,Boreth J.",2011 Fall,,,6,13,3,3,2,2,0,0,,,,,0,1,0,,,,0,,,
BIOE- 112,Ornithology,"Ly,Boreth J.",2011 Fall,,,2,5,3,5,2,1,3,3,,,,,0,0,0,,,,0,,,
BIOE- 112L,Ornithology Field,"Ly,Boreth J.",2011 Fall,,,9,5,3,1,3,1,2,0,,,,,0,0,0,,,,0,,,
CMPS- 12B,Intro Data Structur,"Ly,Boreth J.",2011 Fall,,,15,10,11,20,15,12,2,15,,,,,8,0,1,,,,13,,,
CMPS- 104A,Fund Compiler Des 1,"Ly,Boreth J.",2011 Fall,,,11,6,8,7,12,3,5,5,,,,,2,0,0,,,,0,,,
CMPE- 80A,Universal Access,"Manduchi,Roberto",2011 Fall,,,0,30,49,39,28,11,0,21,,,,,2,10,1,,,,0,,,
THEA- 80X,Performance/Story,"Manduchi,Roberto",2011 Fall,,,1,3,5,10,18,23,2,23,,,,,9,4,2,,,,0,,,
THEA- 151,Stdy Perform Drama,"Manduchi,Roberto",2011 Fall,,,2,10,1,0,0,0,0,0,,,,,0,0,0,,,,0,,,
CMPE- 194F,Group Tutorial,"Mantey,Patrick E",2011 Fall,,,0,17,6,7,0,0,0,0,,,,,0,0,0,,,,0,,,
BIOE- 20C,Ecology & Evolution,"Marinovic,Baldo Branimir",2011 Fall,,,21,19,25,33,53,19,75,86,,,,,19,6,1,,,,7,,,
ECON- 100A,Intermed Microecon,"Marinovic,Baldo Branimir",2011 Fall,,,3,23,9,11,23,9,15,21,,,,,11,1,0,,,,0,,,
ECON- 150,Public Finance,"Marinovic,Baldo Branimir",2011 Fall,,,3,5,2,3,4,1,3,4,,,,,3,2,0,,,,0,,,
CLTE- 80B,RI: Social Justice,"Marinovic,Baldo Branimir",2011 Fall,,,0,6,8,11,6,9,4,3,,,,,0,0,0,,,,0,,,
CLTE- 80L,College Ten Core Film,"Marinovic,Baldo Branimir",2011 Fall,,,0,11,11,1,1,1,0,1,,,,,0,0,0,,,,0,,,
LTSP- 135F,Cine y Literatura,"Martinez-Echazabal,Lourde",2011 Fall,,,1,2,2,7,0,0,0,0,,,,,1,2,1,,,,1,,,
PRTR- 80A,UD: Writing/Arts,"Martinez-Galarce,Marco Antonio",2011 Fall,,,7,11,12,5,5,5,3,1,,,,,0,0,0,,,,0,,,
SPAN- 1,Instr Spanish Lang,"Martinez-Guerrero,Olga",2011 Fall,,,0,8,8,5,0,0,1,1,,,,,0,0,0,,,,1,,,
SOCY- 111,Family & Society,"Martyna,Wendy",2011 Fall,,,0,76,28,11,10,1,1,1,,,,,0,1,0,,,,0,,,
ANTH- 130J,Statemaking Lat Am,"Mathews,Andrew S.",2011 Fall,,,2,5,8,12,3,3,3,1,,,,,4,0,0,,,,1,,,
CLEI- 80A,UD:Environ/Society,"Mc Kercher,Patrick M",2011 Fall,,,0,0,6,6,8,16,3,0,,,,,0,0,0,,,,0,,,
OCEA- 80B,Our Changing Planet,"McCarthy,Matthew D",2011 Fall,,,6,10,8,17,18,16,11,5,,,,,3,4,0,,,,1,,,
LING- 112,Syntax I,"McCloskey,James",2011 Fall,,,0,2,1,2,2,1,0,1,,,,,1,26,3,,,,2,,,
CMPS- 5J,Intro to Prog Java,"McDowell,Charles E",2011 Fall,,,4,21,23,21,50,16,10,29,,,,,5,5,1,,,,4,,,
MERR- 80A,UD: Cultural IDs,"McMillen,Jennifer",2011 Fall,,,0,2,1,2,3,0,3,2,,,,,1,0,0,,,,0,,,
ECON- 10A,Econ of Accounting,"McWilliams,Mallory",2011 Fall,,,5,17,14,7,16,8,8,16,,,,,13,2,2,,,,5,,,
AMS- 2,Pre-Statistics,"Mendes,Bruno Silva",2011 Fall,,,0,3,4,13,8,10,0,7,,,,,7,2,2,,,,0,,,
BIOE- 155,Freshwater Ecology,"Merz,Joseph E",2011 Fall,,,4,10,4,9,11,6,1,3,,,,,0,0,0,,,,0,,,
BME- 80G,Bioethics 21st Cent,"Metcalf,Jacob Patrick",2011 Fall,,,6,12,12,32,47,46,7,16,,,,,6,12,0,,,,3,,,
PHYE- 30J,Strength Training,"Meyer,James J",2011 Fall,,,0,0,0,0,0,0,0,0,,,,,0,13,2,,,,0,,,
MATH- 19B,"Calc:Sci,Engin,Math","Migliore,Edward T",2011 Fall,,,3,27,1,4,63,0,15,52,,,,,49,1,2,,,,8,,,
CHEM- 1A,General Chemistry,"Millhauser,Glenn L",2011 Fall,,,9,34,31,15,145,16,12,107,,,,,78,2,1,,,,5,,,
SOCY- 141,Group Processes,"Millman,Marcia",2011 Fall,,,5,6,10,4,2,1,2,0,,,,,0,0,0,,,,0,,,
